playerId,playerName,deviceId,soccerFieldId,raw_time,epoch_time,session,latitude,longitude,altitude,satellite,pdop,speed,heading,accX,accY,accZ,rotX,rotY,rotZ,pitch,roll,temp,step,crc,cnt,synced
,,,,1776019870.20016241073608398,12.04.2026 18:51:10.200,1,48.24013901,16.33668709,218.15600586,27,1.00000000,0.03800000,127.14304352,7726,1026,-3318,-7,-132,-219,-110.69361115,3.19510627,-432,3387,56506,43538,0
,,,,1776019870.80016207695007324,12.04.2026 18:51:10.800,1,48.24013901,16.33668709,218.12399292,28,1.00000000,0.02300000,127.14304352,7404,790,-3878,337,-650,-545,-113.48706055,5.39348984,-416,3387,21428,43539,0
,,,,1776019871.30016183853149414,12.04.2026 18:51:11.300,1,48.24013901,16.33668709,218.11000061,31,0.94000000,0.11300000,127.14304352,8100,1352,-2894,-542,263,-295,-108.98669434,3.09354234,-416,3387,38979,43540,0
,,,,1776019871.70016169548034668,12.04.2026 18:51:11.700,1,48.24013901,16.33668709,218.10000610,31,0.94000000,0.12600000,63.81037903,7416,1954,-2834,935,973,-163,-106.64603424,8.13136673,-432,3387,44324,43541,0
,,,,1776019872.30016136169433594,12.04.2026 18:51:12.300,1,48.24014282,16.33668709,218.06399536,30,1.00000000,0.48800001,15.85791969,8022,884,-3328,82,-2302,388,-112.94313812,5.35260582,-416,3387,11169,43542,0
,,,,1776019872.70016121864318848,12.04.2026 18:51:12.700,1,48.24014282,16.33668709,218.08000183,29,1.00000000,0.33600000,19.34322929,6998,-1092,-3576,-4056,1486,1034,-108.68497467,3.77837253,-448,3387,35646,43543,0
,,,,1776019873.30016112327575684,12.04.2026 18:51:13.300,1,48.24014664,16.33669281,218.08799744,29,1.00000000,0.66900003,76.56881714,7086,1402,-2398,-1273,-872,745,-116.50339508,-33.87526703,-432,3388,11249,43544,0
,,,,1776019873.80016088485717773,12.04.2026 18:51:13.800,1,48.24015045,16.33669472,218.08000183,30,0.94000000,0.87599999,22.04039955,6146,-470,-3334,6185,972,-2095,-116.89710236,-4.77637863,-400,3389,32935,43545,0
,,,,1776019874.20016050338745117,12.04.2026 18:51:14.200,1,48.24015427,16.33669662,218.10899353,30,0.93000001,0.57099998,15.84720993,8684,-344,-2356,1492,5,-2173,-104.94073486,21.41775322,-416,3389,36271,43546,0
,,,,1776019874.80016040802001953,12.04.2026 18:51:14.800,1,48.24015427,16.33669853,218.08399963,31,0.98000002,0.44700000,60.71451187,7516,1650,-2584,-1660,1626,638,-103.82537842,9.93994999,-400,3389,22517,43547,0
